580;34.7330668705;2.8480808007
576;136.222614446;5.26155461113
577;111.369980644;-0.891035738791
578;84.7653759857;4.02624495017
579;59.9714149757;-2.09347088531
583;-40.6250115441;-4.53955757194
584;-65.8331508673;0.368453633741
585;-91.9118793391;-5.73068012085
586;-117.692398165;-0.937028137087
587;-142.601257479;-6.98602709292
9007;136.268497645;3.29328733518
9008;136.28955594;1.77305089813
9009;84.7190352083;2.04239888662
9010;84.8821174402;0.525016819086
9011;35.2655621721;-0.680318547753
9012;35.2062781491;0.839105130831
9013;-15.591899048;-1.91131511483
9014;-15.7122663223;-0.394002454476
581_smpl_0;9.84696434179;-3.35655632599
582_smpl_1;-15.7941949218;1.58584363556
