276;-37.4814935823;1.57602603117
277;-63.4065322991;-4.53660196307
280;-138.337983019;-0.816191258486
7545;112.118935601;3.09191885366
7546;112.315516105;1.5752238858
7547;86.241606656;0.963745912134
7548;86.1637101367;2.48032515255
7549;61.7450606709;1.91012674065
7550;61.821759785;0.391152144241
7551;36.7061205472;-0.196119240871
7552;36.6668552827;1.32144747895
OGS0000;28.4564953621;1.62578701723
h0048;28.4083445819;3.21151833325
7553;12.7167797782;0.758515295904
7554;12.7455769342;-0.759268545785
7555;-12.3074263983;0.17317613996
7556;-12.2632934176;-1.34627652112
