472;40.6769759855;3.56722542133
470;90.7368545392;4.69979961143
475;-34.2298556626;-3.82147587892
476;-60.2043317025;1.04146379344
477;-85.4290524752;-5.07411188355
478;-110.275257174;-0.165281668952
479;-135.248322239;-6.33479605832
471;65.7344123188;-1.42978745611
469;115.775972293;-0.19553959644
468;140.664488034;6.00755175997
8036;140.653645916;3.93697597956
8037;140.735344501;2.41901586701
8038;115.828336724;1.81280698184
8039;115.778227023;3.33063016311
8040;90.7949255331;2.71892769971
8041;90.8526345639;1.19791406181
8042;65.8218646328;0.593180225143
8043;65.7808770575;2.11030631292
h5120h;65.4192557511;4.17529961527
8044;40.7187868172;1.50368145851
8045;40.8112985019;-0.0140969622481
8046;15.8039334149;-0.62517992171
8047;15.749864194;0.894182980507
h5180h;5.42084333916;2.6962319934
8048;-9.18006879295;-1.23108498192
8049;-9.23063546454;0.287217964515
473_smpl_0;15.7993848159;-2.65027467019
474_smpl_1;-9.35417822321;2.30737881907
