*110315+0000000000000026 21...2+0000000038458208 22...2+0000000029509494 31...6+0000000000106833 51....+000000000007+175 87...6+0000000000000000 
*110316+0000000000000026 21...2+0000000018458224 22...2+0000000010490729 31...6+0000000000106833 51....+000000000007+175 87...6+0000000000000000 
*110317+0000000000000028 21...2+0000000019828516 22...2+0000000010043265 31...6+0000000000592274 51....+000000000007+175 87...6+0000000000000000 
*110318+0000000000000029 21...2+0000000019956631 22...2+0000000010021960 31...6+0000000000902858 51....+000000000007+175 87...6+0000000000000000 
*110319+0000000000000030 21...2+0000000020305910 22...2+0000000010004429 31...6+0000000001114768 51....+000000000007+175 87...6+0000000000000000 
*110320+000000000000029a 21...2+0000000020364143 22...2+0000000009995954 31...6+0000000000902540 51....+000000000007+175 87...6+0000000000000000 
*110321+0000000000000027 21...2+0000000020782986 22...2+0000000010102175 31...6+0000000000277503 51....+000000000007+175 87...6+0000000000000000 
*110322+0000000000000025 21...2+0000000038030798 22...2+0000000010548521 31...6+0000000000090455 51....+000000000007+175 87...6+0000000000000000 
*110323+0000000000000023 21...2+0000000039856097 22...2+0000000010114466 31...6+0000000000592840 51....+000000000007+175 87...6+0000000000000000 
*110324+0000000000000021 21...2+0000000039999957 22...2+0000000010084870 31...6+0000000001075394 51....+000000000007+175 87...6+0000000000000000 
*110325+0000000000000020 21...2+0000000000312677 22...2+0000000010092624 31...6+0000000001097746 51....+000000000007+175 87...6+0000000000000000 
*110326+0000000000000022 21...2+0000000000352553 22...2+0000000010101098 31...6+0000000000894445 51....+000000000007+175 87...6+0000000000000000 
*110327+0000000000000024 21...2+0000000000697303 22...2+0000000010186544 31...6+0000000000340628 51....+000000000007+175 87...6+0000000000000000 
*110328+0000000000000024 21...2+0000000020697371 22...2+0000000029813513 31...6+0000000000340629 51....+000000000007+175 87...6+0000000000000000 
*110329+0000000000000022 21...2+0000000020352614 22...2+0000000029898992 31...6+0000000000894446 51....+000000000007+175 87...6+0000000000000000 
*110330+0000000000000020 21...2+0000000020312647 22...2+0000000029907486 31...6+0000000001097748 51....+000000000007+175 87...6+0000000000000000 
*110331+0000000000000021 21...2+0000000019999963 22...2+0000000029915074 31...6+0000000001075394 51....+000000000007+175 87...6+0000000000000000 
*110332+0000000000000023 21...2+0000000019856134 22...2+0000000029885639 31...6+0000000000592840 51....+000000000007+175 87...6+0000000000000000 
*110333+0000000000000025 21...2+0000000018030753 22...2+0000000029451616 31...6+0000000000090455 51....+000000000007+175 87...6+0000000000000000 
*110334+0000000000000027 21...2+0000000000783029 22...2+0000000029897823 31...6+0000000000277504 51....+000000000007+175 87...6+0000000000000000 
*110335+000000000000029a 21...2+0000000000364111 22...2+0000000030004060 31...6+0000000000902542 51....+000000000007+175 87...6+0000000000000000 
*110336+0000000000000030 21...2+0000000000305877 22...2+0000000029995622 31...6+0000000001114772 51....+000000000007+175 87...6+0000000000000000 
*110337+0000000000000029 21...2+0000000039956672 22...2+0000000029978120 31...6+0000000000902862 51....+000000000007+175 87...6+0000000000000000 
*110338+0000000000000028 21...2+0000000039828507 22...2+0000000029956820 31...6+0000000000592274 51....+000000000007+175 87...6+0000000000000000 
*110339+0000000000000026 21...2+0000000038458201 22...2+0000000029509488 31...6+0000000000106832 51....+000000000007+175 87...6+0000000000000000 
