,Num,X,Y,Dist
0,6a,-32.4401902993489,2.1757774745648484,3.814582581745354e-05
1,7,-41.46572203825576,1.6451044645443793,0.0005516501809109469
2,7b,-56.41115231945521,1.3296539573204513,0.0001391101289033327
3,8,-70.66738538985777,-5.257442560925388,0.00011148817542732451
4,7a,-55.48775677365504,-4.691141914927041,0.0001060322199841469
5,6,-7.491881124806389,-3.029261448350801,0.0010209520737018462
6,4,28.70165412883923,-1.7837741382631291,
7,3,40.871365629317715,-2.0222318985428718,
8,1,-77.2321771462476,2.2241270342169355e-05,
9,2,66.77532097750233,5.272295886766496,
10,4a,17.947798095422698,3.4521052705109216,
11,5,9.484132274540382,3.1424783948042037,
12,1000,77.21008891643794,1.844166289500396,
13,1001,77.20083612441856,3.3632283546053934,
14,1002,40.70908079559371,2.157234467409423,
15,1003,40.76148743457677,0.6382640005308918,
16,1004,17.945703434645704,-0.12052407409377056,
17,1005,18.010911200390424,1.402830027728472,
18,1006,-7.5001107468714965,-0.9578478200839826,
19,1007,-7.542165689695842,0.5575514219944296,
20,1016,-70.67158807712802,-1.5359344121791867,
21,9b,-102.01719045683669,-6.181594881792192,0.0006037304838298617
22,1018,-90.40823779125584,-3.713205542976079,
23,12,-150.71190782033293,-2.334055587406954,0.00026308496156446983
24,1012,-7.528612054513218,0.5566052277668656,
25,1011,-7.49275169796752,-0.9584674950530421,
26,9,-90.46515796603805,-0.3423088272040289,
27,1014,-41.4821648237176,-2.090118636085527,
28,1015,-70.6343503116141,-3.052061637501776,
29,9a,-102.26085431429013,-0.5873410374613814,0.0004492031179887614
30,13,-176.22796147620898,-8.736619729404882,0.0008339814728526579
31,1017,-90.45392471676519,-2.1953106795524393,
32,1013,-41.42236872001835,-0.5679681744072678,
33,11,-124.24497331651149,-6.980156984673868,0.00030836132937942174
34,18,-270.6173507977296,-6.2881521487760965,0.0005453016831735968
35,3003,-124.48066096243193,-3.3203280867802847,
36,14,-195.3385841455222,-3.3738741341533616,2.035836673707226e-07
37,3004,-150.57862499140498,-4.189320284796541,
38,15,-218.32889858247057,-9.91815832390818,0.0001514588263042469
39,3001,-102.07233070785134,-4.097840519877074,
40,3007,-176.48747979442683,-5.050281066761749,
41,3005,-150.4201669345277,-5.70172590029283,
42,20,-310.35347110097337,-7.506954394751441,0.00022780022438674696
43,3000,-102.20178724040365,-2.584401629177805,
44,3008,-194.88137454839367,-5.659235081672152,
45,19,-293.45441513895133,-12.624342405015545,0.0001935431423865972
46,17,-244.1172406263276,-10.922166013877572,0.00013641480786386246
47,3009,-194.80038979180006,-7.177570780750832,
48,3006,-176.4361757590716,-6.568066478279839,
49,16,-244.2289975267508,-5.128823186081066,0.00027097673182352157
50,3002,-124.3496693166652,-4.836820868675457,
51,4002,-218.44210366446958,-7.962249837448318,
52,25,-411.31503959904296,-16.63388707328526,2.427187650670041e-07
53,4003,-218.48155101438607,-6.4449368107539255,
54,24,-386.11989176482734,-9.920394038733914,0.0008139405865735874
55,4000,-194.95991630905706,-5.660969626894067,
56,4010,-310.36824493772156,-9.492271565512617,
57,4006,-270.496891667745,-8.16577133276709,
58,4001,-194.825337617201,-7.178029365240835,
59,4007,-270.42856768928505,-9.685235489599405,
60,4005,-243.96560429388137,-8.808730501524677,
61,23,-360.6561033295033,-14.731053709125634,0.00021488028197122052
62,21,-392.5862156145231,-60.26975633661294,186.24797282290592
63,4009,-293.54981878113284,-8.932756039889245,
64,22,-330.6827538602288,-8.1454169758997,0.00016859252012035736
65,4004,-243.99826549033025,-7.288935436538341,
66,4011,-310.2807378457202,-11.007592553751216,
67,4008,-293.4296496937353,-10.450168384491738,
68,26,-430.29124438286834,-11.522584441655738,0.0002815322824253859
69,28,-479.1434231327062,-12.963373640799155,0.0004376983229279842
70,27,-447.4279937640032,-17.65022278407117,0.0005160273892938569
71,30,-531.2163442024876,-20.425728950309125,8.259425930225977e-05
72,29a,-509.977329134609,-20.021723134110587,0.0001202122323840254
73,29,-510.2111094399114,-14.249851338074189,0.0001483226895079333
74,5004,-360.62421076485987,-11.155226195899058,
75,5003,-330.46622157487826,-10.15652954551242,
76,5005,-360.62245566066224,-12.678255684736328,
77,5010,-430.08244333141306,-13.468059691284651,
78,5006,-385.77473242968085,-13.517652562598986,
79,5011,-430.037873033879,-14.984072040549169,
80,5002,-330.34534425182994,-11.67233507891043,
81,5001,-310.3015847179186,-11.005896024937194,
82,5009,-411.3923905601836,-14.364354901801907,
83,5007,-385.8733544677049,-11.998830267729424,
84,5008,-411.4810550545675,-12.84811212553003,
85,5000,-310.38007686881167,-9.490057548265893,
86,6005,-478.94272397003635,-15.092271371054734,
87,6011,-543.2849907607826,-18.74057164332596,
88,6006,-509.82644494134496,-16.109092904162168,
89,34,-593.2725690985767,-17.12794406903795,0.00023810599807336827
90,6001,-430.09686503002376,-13.46735348149975,
91,31,-543.0703377982029,-15.464512464084152,0.0003532337244034162
92,6007,-509.7366922616823,-17.626739943653252,
93,6002,-447.8299151731646,-14.054741355623348,
94,6009,-531.3848502426529,-16.827109408848123,
95,33,-568.2723684381671,-21.274876304644387,0.00028314648873375856
96,36,-638.2071566076788,-18.63590246719121,0.0002740266777301637
97,32,-542.9204937438506,-20.582537460371704,0.0005866074493262803
98,6003,-447.767770149651,-15.572198879760514,
99,6008,-531.2671893593882,-18.344951161194615,
100,6004,-478.83996986849786,-16.611517497613193,
101,35,-618.3278577914234,-22.98884212525468,0.0004328991734808805
102,6000,-430.0216874971729,-14.982484623389247,
103,6010,-543.3683865769704,-17.225415816659176,
104,7004,-593.3590165736356,-18.88523939779805,
105,7007,-618.357912261681,-19.71501343678281,
106,7000,-543.3259935196043,-17.22268361606349,
107,41,-713.1979288740416,-26.159032438650907,0.0002603402632667447
108,37,-663.3697961936444,-19.48227745807771,0.00033690871650511454
109,7009,-638.1019552073823,-21.89456902124974,
110,7006,-618.3121611169599,-21.235570617058087,
111,38,-663.1923456417646,-24.472332582595865,0.000910572615947919
112,7010,-663.2368021942501,-22.730546175522246,
113,7008,-638.1525241165564,-20.37650398877347,
114,7005,-593.3136693354165,-20.406098348566054,
115,39,-688.4049453121642,-20.264563612453067,0.00031501588560591627
116,7003,-568.3431816937466,-18.054900487101627,
117,40,-713.4036825085154,-21.143084652404916,0.00036553679781623074
118,7001,-543.23860303473,-18.738456271348987,
119,7002,-568.2948096378743,-19.573700692024975,
120,42,-738.2368935692916,-21.996286868438062,5.865828659312509e-05
121,7011,-663.3255913188937,-21.211487191328196,
122,45,-813.2563037038342,-29.504799664778893,0.0004036703327927343
123,46,-838.453010686063,-25.304106030260975,0.00020975748525028622
124,7018,-738.2885794716591,-25.22051345100221,
125,7013,-663.1835082949387,-22.7297019221987,
126,7020,-763.3721701975965,-24.528025935431142,
127,47,-863.1617195168476,-31.209142463086565,0.0003012927989303575
128,7016,-713.1945091546216,-24.387882276999086,
129,7014,-688.3107415097145,-23.564564900426298,
130,48,-863.7670095055794,-26.143576769936544,0.0001594592685062461
131,7019,-763.3078753459463,-26.048644603331507,
132,43,-763.2701091679205,-27.914997404275383,0.0012863534825751264
133,7012,-663.2962338342097,-21.209788126701845,
134,7017,-738.2998762952902,-23.698295921166867,
135,7015,-713.3291844888249,-22.87182820947823,
136,44,-788.3038760302011,-23.649393677766604,0.0004952124229425217
137,54,-993.1473548426882,-30.183829238016017,9.734984558069202e-05
138,51,-914.7538605224371,-27.697778425378154,0.00011548398474511579
139,7025,-813.2873333789773,-27.70095494492923,
140,7034,-914.8467418210066,-29.54722572288928,
141,50,-914.4394238552418,-32.90162181138514,0.0005273330775996233
142,7022,-763.365026548332,-24.52725733463263,
143,7024,-788.2367672680175,-26.874825493272485,
144,7026,-813.3514803599536,-26.182431135046247,
145,7021,-763.2747899446654,-26.047459052831098,
146,7029,-863.2206562382503,-29.352186947476845,
147,7033,-914.7372042877132,-31.064191328872827,
148,7030,-863.4385463588288,-27.837788333889776,
149,7023,-788.3347364746256,-25.355219917110446,
150,49,-889.1354537090542,-32.032742923735945,
151,7032,-888.9093492309173,-28.683548997630222,
152,7028,-838.2546683937602,-28.532649775546425,
153,52,-944.5588868870543,-28.423346661399577,0.000768562805920921
154,7027,-838.3711794974082,-27.016509484928577,
155,53,-966.1902670653144,-34.76812178816224,0.00030115746450598324
156,7031,-888.8261588257046,-30.20530477169697,
157,7039,-966.1677331878483,-32.76885933184773,
158,57,-1043.363222032715,-37.31194764801846,0.00036464574112858215
159,7040,-966.2574763518585,-31.249688504065595,
160,7036,-914.7442015886469,-31.064463087252594,
161,59,-1093.0417987901606,-38.94576555154853,0.0010538995616876286
162,7035,-914.8421932718595,-29.547494860301388,
163,61,-1146.3289121781695,-40.736928912917,0.0007335893270630535
164,58,-1068.4128939330951,-32.643386625057765,0.0003970128504941623
165,7038,-944.2544109123533,-32.040694534287844,
166,7037,-944.3771647078725,-30.524703164308097,
167,56,-1018.0482190800169,-36.459433915420846,2.7865654748823357e-05
168,55,-1018.2246227918013,-30.93011772596646,0.00015126848445838397
169,7052,-1093.221285423935,-35.458716890268796,
170,63,-1196.8528931596707,-42.40392775631016,9.875687969642177e-05
171,62,-1171.2959560958689,-36.05270145122826,0.0005283515887796071
172,7047,-1043.595687930855,-35.335368201618486,
173,7050,-1068.1053251331832,-36.147464966235155,
174,7044,-993.1208512453533,-33.66025672177181,
175,7042,-966.308630679538,-31.250064978401472,
176,7045,-1018.2369293572026,-32.97248527529796,
177,7048,-1043.6972381331082,-33.8162609000019,
178,7049,-1068.2146900790146,-34.62710392191783,
179,7046,-1018.1554627767395,-34.49132704111859,
180,7043,-993.2203580328844,-32.13957380521384,
181,7041,-966.2053956515683,-32.76973522907315,
182,64,-1221.8356909226634,-37.761156387529404,0.00035394363395383773
183,7051,-1093.122342930927,-36.977515810659575,
184,60,-1121.2543017489515,-34.36634002811615,0.0001810719594527058
185,65,-1247.0208042722566,-44.06001989250304,0.0006438354703023091
186,7054,-1093.1841919261078,-35.45789938910449,
187,7056,-1121.1080107396208,-37.90778256784797,
188,69,-1346.076387958502,-47.32616460269287,0.00042089358672454404
189,68,-1320.8103563410816,-40.98187984604712,0.0003238273157654499
190,7058,-1146.6603922835022,-37.228555054773366,
191,70,-1370.7873531665423,-42.644612842791155,0.0009189020255863371
192,7061,-1196.8773389712007,-40.41921079710898,
193,7064,-1222.0672933075327,-41.25528480116578,
194,7060,-1171.1157351780523,-39.56610346921948,
195,7062,-1196.985792133936,-38.90081759696791,
