,Num,X,Y,Dist
0,6a,-32.4401902993,2.17577747462,3.814571136843e-05
1,7,-41.4657220382,1.64510446455,0.0005516502373959383
2,7b,-56.4111523193,1.32965395724,0.0001391102285229215
3,8,-70.6673853897,-5.25744256108,0.00011148850537049137
4,7a,-55.4877567735,-4.691141915,0.00010603202371152922
5,6,-7.49188112466,-3.02926144816,0.0010209521228250746
6,4,28.7016541288,-1.78377413826,
7,3,40.8713656293,-2.02223189854,
8,1,77.2321771462,-2.22412703474e-05,
9,2,66.7753209775,5.27229588677,
10,4a,17.9477980954,3.45210527051,
11,5,9.48413227454,3.1424783948,
12,1000,77.2100889164,1.8441662895,
13,1001,77.2008361244,3.36322835461,
14,1002,40.7090807956,2.15723446741,
15,1003,40.7614874346,0.638264000531,
16,1004,17.9457034346,-0.120524074094,
17,1005,18.0109112004,1.40283002773,
18,1006,-7.50011074687,-0.957847820084,
19,1007,-7.5421656897,0.557551421994,
20,11,-124.244973316,-6.98015698586,0.00030836194622018017
21,13,-176.227961475,-8.73661973165,0.0008339799650849937
22,12,-150.71190782,-2.33405558913,0.00026308450143197175
23,9a,-102.260854314,-0.587341038205,0.00044920377821048863
24,9b,-102.017190456,-6.18159488253,0.0006037311202012723
25,9,-90.4651579658,-0.342308827736,
26,1018,-90.408237791,-3.71320554351,
27,1014,-41.4821648235,-2.09011863608,
28,1015,-70.6343503114,-3.05206163782,
29,1016,-70.6715880769,-1.5359344125,
30,1017,-90.4539247165,-2.19531068009,
31,1011,-7.49275169779,-0.958467494666,
32,1012,-7.52861205428,0.55660522815,
33,1013,-41.4223687198,-0.567968174396,
34,3005,-150.420166933,-5.70172590253,
35,3004,-150.57862499,-4.18932028704,
36,3007,-176.487479793,-5.05028106978,
37,3006,-176.436175758,-6.56806648129,
38,3001,-102.072330707,-4.09784052069,
39,3000,-102.201787239,-2.58440162999,
40,3003,-124.480660961,-3.32032808825,
41,3002,-124.349669316,-4.83682087015,
42,3009,-194.800389791,-7.1775707843,
43,3008,-194.881374547,-5.65923508523,
44,20,-310.353490914,-7.50692010991,0.00022125212880653915
45,15,-218.328898591,-9.91815824477,0.0001516248502310528
46,14,-195.338584129,-3.37387414626,2.3951649812091773e-07
47,17,-244.117240639,-10.9221658324,0.00013646793990995096
48,16,-244.228997517,-5.12882300416,0.0002706075854109448
49,19,-293.454415158,-12.6243420277,0.0001931597100816863
50,18,-270.617350792,-6.28815186214,0.0005458732491215581
51,24,-386.119909715,-9.92041800628,0.0007734631222491257
52,25,-411.315052368,-16.6339304868,9.395813457255156e-05
53,21,-312.401013384,-12.9161933217,0.000732492143588084
54,22,-330.68277318,-8.14539815593,0.00012968707052543184
55,23,-360.656117567,-14.7310580233,0.00023865814003356416
56,4000,-194.959916294,-5.66096965056,
57,4001,-194.825337614,-7.17802938996,
58,4002,-218.442103668,-7.96224967402,
59,4003,-218.481551006,-6.44493664702,
